job_title,company_name,location,salary,avg_salary
Sr Data Scientist-LPB,Baker Hughes,"Houston, TX",,0.0
Data Scientist,Ecolab,"Sugar Land, TX 77479",,0.0
Data Scientist,Waste Management,"Houston, TX",,0.0
Data Scientist,Ecolab,"Sugar Land, TX 77479",,0.0
Research Scientist,CooperSurgical,"Houston, TX",,0.0
Data Scientist,Waste Management,"Houston, TX",,0.0
QA/QC Analyst (Data Entry Clerk),"Montrose Environmental Group, Inc.","Houston, TX",,0.0
Data Scientist,C&J Energy Services,"Houston, TX 77042 (West Houston area)",,0.0
Data Scientist - eData (ML Rex),Morgan Lewis,"Houston, TX",,0.0
Data Scientist,Silicus Technologies,"Houston, TX",,0.0
Medical Laboratory Scientist,Houston Methodist,"Houston, TX",,0.0
Data Scientist- Digital Media,David Weekley Homes,"Houston, TX",,0.0
Intern Environmental Planning/Scientist- Part Time,HNTB Corporation,"Houston, TX 77092 (Northwest area)",,0.0
Research Scientist,CooperSurgical,"Houston, TX",,0.0
Research Associate - COR,Houston Methodist,"Houston, TX",,0.0
Geoscience Students Seeking Intern Opportunities for 2019,ExxonMobil,"Spring, TX",,0.0
"Oilfield Services Analyst - Energy Insights, New Ventures",McKinsey & Company,"Houston, TX 77002 (Downtown area)",,0.0
Document Control Assistant,Burns & McDonnell,"Houston, TX",,0.0
Research Assistant I,Baylor College of Medicine,"Houston, TX",,0.0
Research Scientist - SBMI-Biomedical Informatics,The University of Texas Health Science Center at H...,"Houston, TX",,0.0
QA/QC Analyst (Data Entry Clerk),"Montrose Environmental Group, Inc.","Houston, TX",,0.0
Nano SIMS Analytical Scientist,Jacobs,"Houston, TX",,0.0
Data QC Coordinator,Precision for Medicine,"Houston, TX",,0.0
Research Scientist,CooperSurgical,"Houston, TX",,0.0
Entry-Level Project Controls Specialist,Burns & McDonnell,"Houston, TX",,0.0
Research Scientist- Artificial Intelligence,MD Anderson Cancer Center,"Houston, TX 77030 (Medical area)","$53,200 - $66,500 a year",59850.0
Research Scientist - Mathematics in Medicine,Houston Methodist,"Houston, TX",,0.0
"Analyst, Market Research","Cheniere Energy, Inc.","Houston, TX",,0.0
Research Scientist (non-laboratory) - Hematological Malignancies,MD Anderson Cancer Center,"Houston, TX 77030 (Medical area)","$53,200 - $79,800 a year",66500.0
Research Associate - COR,Houston Methodist,"Houston, TX",,0.0
Senior Data Scientist,Rice University,"Houston, TX 77017 (Pasadena area)",,0.0
Statistical Analyst - Health Services Research,MD Anderson Cancer Center,"Houston, TX 77030 (Medical area)",,0.0
Document Control Assistant,Burns & McDonnell,"Houston, TX",,0.0
Project Associate,alliantgroup,"Houston, TX",,0.0
Research Scientist (Epilepsy),The University of Texas Health Science Center at H...,"Houston, TX",,0.0
Data Scientist / Software Developer,Tessella,"Houston, TX 77042 (West Houston area)",,0.0
"Scientist, Engineer Needed for Assessment and Emergency Response Team",Weston Solutions,"Houston, TX 77054 (Medical area)",,0.0
Research Scientist - Leukemia,MD Anderson Cancer Center,"Houston, TX 77030 (Medical area)","$53,200 - $79,800 a year",66500.0
Production Optimizer,BP,"Houston, TX 77049",,0.0
Data Scientist GPS,LyondellBasell Industries,"Houston, TX",,0.0
Research Scientist,The University of Texas Health Science Center at H...,"Houston, TX",,0.0
Entry - Level Construction Professional,Burns & McDonnell,"Houston, TX",,0.0
Associate Environmental Scientist,Energy Transfer Family of Partnerships,"Houston, TX",,0.0
Research Scientist - Pediatrics Research,MD Anderson Cancer Center,"Houston, TX 77030 (Medical area)",,0.0
Research Scientist (non-laboratory) - Hematological Malignancies,MD Anderson Cancer Center,"Houston, TX 77030 (Medical area)","$53,200 - $79,800 a year",66500.0
Junior Research Analyst,Rice University,"Houston, TX 77017 (Pasadena area)",,0.0
Environmental Scientist-Midland,Golder Associates,"Houston, TX 77073",,0.0
Research Analyst,Alvarez & Marsal,"Houston, TX 77002 (Downtown area)",,0.0
Research Associate - COR,Houston Methodist,"Houston, TX",,0.0
Science Consultant,alliantgroup,"Houston, TX 77096 (Meyerland area)",,0.0
Research Scientist - SBMI-Biomedical Informatics,The University of Texas Health Science Center at H...,"Houston, TX",,0.0
"Analyst, Market Research","Cheniere Energy, Inc.","Houston, TX",,0.0
Senior Research Scientist - Radiology,The University of Texas Health Science Center at H...,"Houston, TX",,0.0
Entry-Level Project Controls Specialist,Burns & McDonnell,"Houston, TX",,0.0
"Analyst 3, Mktg Research & Planning - Houston, TX",Comcast,"Houston, TX 77040",,0.0
Geoscience Students Seeking Intern Opportunities for 2019,ExxonMobil,"Spring, TX",,0.0
"Health Analytics and Epidemiology Specialist - Houston, TX",Shell,"Houston, TX",,0.0
Infection Preventionist,Houston Methodist,"Houston, TX",,0.0
Medical Laboratory Scientist Evenings,Houston Methodist,"Houston, TX",,0.0
"Senior Applied Data Scientist, Government",Civis Analytics,"Houston, TX",,0.0
Statistical Analyst - Health Services Research,MD Anderson Cancer Center,"Houston, TX 77030 (Medical area)",,0.0
"Lead Instructor, Data Science",WeWork,"Houston, TX 77002 (Downtown area)",,0.0
Medical Lab Scientist - Nights/Weekends,Houston Methodist,"Houston, TX",,0.0
Contract Data Analyst,Cardno,"Houston, TX",,0.0
"Research Scientist, Hepatobiliary & Pancreatic Cancers - Quantitative Imaging & 3-D Printing",MD Anderson Cancer Center,"Houston, TX 77030 (Medical area)","$53,200 - $79,800 a year",66500.0
Energy Quantitative Analyst,Macquarie Group Limited,"Houston, TX 77002 (Downtown area)",,0.0
Principal Data Scientist,Sysco,"Houston, TX",,0.0
Financial Analyst in the Office of Research Administration,Texas Heart Institute,"Houston, TX 77030 (Medical area)",,0.0
Senior Data Scientist,Nabors Industries,"Houston, TX 77067",,0.0
Production Optimizer,BP,"Houston, TX 77049",,0.0
Variant Scientist,NeoGenomics Laboratories,"Houston, TX",,0.0
Research Associate,Baylor College of Medicine,"Houston, TX","$65,000 a year",65000.0
Materials Scientist - Simulation,Huntsman,"Houston, TX",,0.0
Flow Cytometry - Research Applications Scientist - Houston,Becton Dickinson & Company,"Houston, TX",,0.0
Project Support Administrator II,NeoGenomics Laboratories,"Houston, TX",,0.0
Senior Data Scientist (Req. 10062),Maana,"Houston, TX",,0.0
Financial Analyst in the Office of Research Administration,Texas Heart Institute,"Houston, TX 77030 (Medical area)",,0.0
Sr. Research Analyst II,IHS Markit,"Houston, TX 77077 (West Houston area)",,0.0
Data Engineer,Baker Hughes,"Houston, TX",,0.0
Market Research Analyst,alliantgroup,"Houston, TX 77096 (Meyerland area)",,0.0
TECHNOLOGIST V-MPD ENG,Weatherford,"Houston, TX 77041",,0.0
Data Scientist,Smith & Associates,"Houston, TX 77015",,0.0
Data Scientist,Cognizant,"Phoenix, AZ",,0.0
Data Scientist I-III,Blue Cross Blue Shield of Arizona,"Phoenix, AZ 85021 (North Mountain area)",,0.0
Entry Level - Procurement Agent,BOEING,"Mesa, AZ 85215 (Northeast area)",,0.0
Logistics Data/Publication Specialist,BOEING,"Mesa, AZ 85215 (Northeast area)",,0.0
ENVIRONMENTAL SCIENTIST 1-2,State of Arizona,"Phoenix, AZ 85007 (Central City area)","$40,000 a year",40000.0
Junior Data Scientist,Honeywell,"Phoenix, AZ 85034 (Central City area)",,0.0
Data Scientist (HCE),Honeywell,"Phoenix, AZ 85034 (Central City area)",,0.0
Engineer - Machine Learning / Data Scientist,American Express,"Phoenix, AZ",,0.0
